,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
0,DICT-DNDFC_120_FT_DDMG_Lec01,SET Database Design & Modelling,9/1/2020,Thursday,08:30:00,11:30:00,03:00,C01,50,Ong Chin Ann,Jackson
1,DICT-DNDFC_120_FT_DDMG_Lec02,SET Database Design & Modelling,13/1/2020,Monday,12:00:00,15:00:00,03:00,C01,50,Ong Chin Ann,Jackson
2,DICT-DNDFC_120_FT_DDMG_Lec03 (Lab Grp 1),SET Database Design & Modelling,15/1/2020,Wednesday,12:00:00,15:00:00,03:00,D03,48,Ong Chin Ann,Jackson
3,DICT-DNDFC_120_FT_DDMG_Lec03 (Lab Grp 2),SET Database Design & Modelling,16/1/2020,Thursday,15:30:00,18:30:00,03:00,D01,48,Ong Chin Ann,Jackson
4,DICT-DNDFC_120_FT_DDMG_Lec04,SET Database Design & Modelling,4/2/2020,Tuesday,15:30:00,18:30:00,03:00,C02/C03,50,Ong Chin Ann,Jackson
5,DICT-DNDFC_120_FT_DDMG_Lec05 (Lab Grp 1),SET Database Design & Modelling,11/2/2020,Tuesday,12:00:00,15:00:00,03:00,D01,48,Ong Chin Ann,Jackson
6,DICT-DNDFC_120_FT_DDMG_Lec05 (Lab Grp 2),SET Database Design & Modelling,10/2/2020,Monday,15:30:00,18:30:00,03:00,D03,48,Ong Chin Ann,Jackson
7,DICT-DNDFC_120_FT_DDMG_Lec06,SET Database Design & Modelling,12/2/2020,Wednesday,12:00:00,15:00:00,03:00,C01,50,Ong Chin Ann,Jackson
8,DICT-DNDFC_120_FT_DDMG_Lec07,SET Database Design & Modelling,14/2/2020,Friday,12:00:00,15:00:00,03:00,C01,50,Ong Chin Ann,Jackson
9,DICT-DNDFC_120_FT_DDMG_Lec08 (Lab Grp 2),SET Database Design & Modelling,19/2/2020,Wednesday,15:30:00,18:30:00,03:00,D03,48,Ong Chin Ann,Jackson
10,DICT-DNDFC_120_FT_DDMG_Lec08 (Lab Grp1),SET Database Design & Modelling,18/2/2020,Tuesday,15:30:00,18:30:00,03:00,D03,48,Ong Chin Ann,Jackson
11,DICT-DNDFC_120_FT_DDMG_Lec09,SET Database Design & Modelling,21/2/2020,Friday,12:00:00,15:00:00,03:00,C02/C03,50,Ong Chin Ann,Jackson
12,DICT-DNDFC_120_FT_DDMG_Lec10,SET Database Design & Modelling,24/2/2020,Monday,12:00:00,15:00:00,03:00,,50,Ong Chin Ann,Jackson
13,DICT-DNDFC_120_FT_DDMG_Lec11 (Lab Grp 1),SET Database Design & Modelling,26/2/2020,Wednesday,12:00:00,15:00:00,03:00,D03,48,Ong Chin Ann,Jackson
14,DICT-DNDFC_120_FT_DDMG_Lec11 (Lab Grp 2),SET Database Design & Modelling,4/3/2020,Wednesday,08:30:00,11:30:00,03:00,D02,48,Ong Chin Ann,Jackson
15,DICT-DNDFC_120_FT_DDMG_Lec12,SET Database Design & Modelling,4/3/2020,Wednesday,15:00:00,18:00:00,03:00,C02/C03,50,Ong Chin Ann,Jackson
16,DICT-DNDFC_120_FT_DDMG_Lec13 (Lab Grp 1),SET Database Design & Modelling,5/3/2020,Thursday,08:30:00,11:30:00,03:00,D03,48,Ong Chin Ann,Jackson
17,DICT-DNDFC_120_FT_DDMG_Lec13 (Lab Grp 2),SET Database Design & Modelling,6/3/2020,Friday,08:30:00,11:30:00,03:00,D02,48,Ong Chin Ann,Jackson
18,DICT-DNDFC_120_FT_DDMG_Lec14 (Lab Grp 1),SET Database Design & Modelling,12/3/2020,Thursday,12:00:00,15:00:00,03:00,D03,48,Ong Chin Ann,Jackson
19,DICT-DNDFC_120_FT_DDMG_Lec14 (Lab Grp 2),SET Database Design & Modelling,11/3/2020,Wednesday,08:30:00,11:30:00,03:00,D02,48,Ong Chin Ann,Jackson
20,DICT-DNDFC_120_FT_DDMG_Lec15,SET Database Design & Modelling,9/3/2020,Monday,08:30:00,11:30:00,03:00,C02/C03,50,Ong Chin Ann,Jackson
