,Name,Description,Activity Dates (Individual),Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Allocated Location Name,Planned Size,Allocated Staff Name,Zone Name
2,DICT-DNDFC_220_FT_IP_Lab01Grp02/1,SET Introduction to Programming (IP),24/4/2020,Friday,15:30:00,18:30:00,3:00,C02/C03,48,Ong Chin Ann,Jackson
3,DICT-DNDFC_220_FT_IP_Lab02Grp01/1,SET Introduction to Programming (IP),27/4/2020,Monday,12:30:00,15:30:00,3:00,C01,48,Ong Chin Ann,Jackson
4,DICT-DNDFC_220_FT_IP_Lab03Grp02/1,SET Introduction to Programming (IP),15/5/2020,Friday,15:30:00,18:30:00,3:00,C01,48,Ong Chin Ann,Jackson
5,DICT-DNDFC_220_FT_IP_Lab04Grp01/1,SET Introduction to Programming (IP),19/5/2020,Tuesday,12:00:00,15:00:00,3:00,C01,48,Ong Chin Ann,Jackson
7,DICT-DNDFC_220_FT_IP_Lab05Grp01/1,SET Introduction to Programming (IP),26/5/2020,Tuesday,8:30:00,11:30:00,3:00,C02/C03,48,Ong Chin Ann,Jackson
8,DICT-DNDFC_220_FT_IP_Lab06Grp01/1,SET Introduction to Programming (IP),28/5/2020,Thursday,15:30:00,18:30:00,3:00,C02/C03,48,Ong Chin Ann,Jackson
9,DICT-DNDFC_220_FT_IP_Lec01/1,SET Introduction to Programming (IP),8/4/2020,Wednesday,12:00:00,15:00:00,3:00,C02/C03,80,Ong Chin Ann,Jackson
10,DICT-DNDFC_220_FT_IP_Lec02/1,SET Introduction to Programming (IP),14/4/2020,Tuesday,12:00:00,15:00:00,3:00,C01,80,Ong Chin Ann,Jackson
11,DICT-DNDFC_220_FT_IP_Lec03/1,SET Introduction to Programming (IP),23/4/2020,Thursday,13:00:00,15:30:00,2:30,C02/C03,80,Ong Chin Ann,Jackson
12,DICT-DNDFC_220_FT_IP_Lec06/1,SET Introduction to Programming (IP),5/5/2020,Tuesday,15:00:00,18:00:00,3:00,C02/C03,80,Ong Chin Ann,Jackson
13,DICT-DNDFC_220_FT_IP_Lec07/1,SET Introduction to Programming (IP),4/5/2020,Monday,15:00:00,18:00:00,3:00,C02/C03,80,Ong Chin Ann,Jackson
14,DICT-DNDFC_220_FT_IP_Lec10/1,SET Introduction to Programming (IP),2/6/2020,Tuesday,12:00:00,15:00:00,3:00,C02/C03,84,Ong Chin Ann,Jackson
15,DICT-DNDFC_220_FT_IP_Lec13/1,SET Introduction to Programming (IP),22/5/2020,Friday,12:00:00,15:00:00,3:00,C02/C03,80,Ong Chin Ann,Jackson
16,DICT-DNDFC_220_FT_IP_Lec14/1,SET Introduction to Programming (IP),13/5/2020,Wednesday,15:30:00,18:30:00,3:00,C02/C03,80,Ong Chin Ann,Jackson
17,DICT-DNDFC_220_FT_IP_Lec15/1,SET Introduction to Programming (IP),2/6/2020,Tuesday,15:30:00,18:30:00,3:00,C02/C03,84,Ong Chin Ann,Jackson
